법정동코드,법정동명,id
1129011000,서울특별시 성북구 동소문동7가,246
1129011100,서울특별시 성북구 삼선동1가,247
1129011200,서울특별시 성북구 삼선동2가,248
1129011300,서울특별시 성북구 삼선동3가,249
1129011400,서울특별시 성북구 삼선동4가,250
1129011500,서울특별시 성북구 삼선동5가,251
1129011600,서울특별시 성북구 동선동1가,252
1129011700,서울특별시 성북구 동선동2가,253
1129011800,서울특별시 성북구 동선동3가,254
1129011900,서울특별시 성북구 동선동4가,255
1129012000,서울특별시 성북구 동선동5가,256
1129012100,서울특별시 성북구 안암동1가,257
1129012200,서울특별시 성북구 안암동2가,258
1129012300,서울특별시 성북구 안암동3가,259
1129012400,서울특별시 성북구 안암동4가,260
1129012500,서울특별시 성북구 안암동5가,261
1129012600,서울특별시 성북구 보문동4가,262
1129012700,서울특별시 성북구 보문동5가,263
1129012800,서울특별시 성북구 보문동6가,264
1129012900,서울특별시 성북구 보문동7가,265
1129013000,서울특별시 성북구 보문동1가,266
1129013100,서울특별시 성북구 보문동2가,267
1129013200,서울특별시 성북구 보문동3가,268
1129013300,서울특별시 성북구 정릉동,269
1129013400,서울특별시 성북구 길음동,270
1129013500,서울특별시 성북구 종암동,271
1129013600,서울특별시 성북구 하월곡동,272
1129013700,서울특별시 성북구 상월곡동,273
1129013800,서울특별시 성북구 장위동,274
1129013900,서울특별시 성북구 석관동,275
1130510100,서울특별시 강북구 미아동,276
1130510200,서울특별시 강북구 번동,277
1130510300,서울특별시 강북구 수유동,278
1130510400,서울특별시 강북구 우이동,279
1132010500,서울특별시 도봉구 쌍문동,280
1132010600,서울특별시 도봉구 방학동,281
1132010700,서울특별시 도봉구 창동,282
1132010800,서울특별시 도봉구 도봉동,283
1135010200,서울특별시 노원구 월계동,284
1135010300,서울특별시 노원구 공릉동,285
1135010400,서울특별시 노원구 하계동,286
1135010500,서울특별시 노원구 상계동,287
1135010600,서울특별시 노원구 중계동,288
1138010100,서울특별시 은평구 수색동,289
1138010200,서울특별시 은평구 녹번동,290
1138010300,서울특별시 은평구 불광동,291
1138010400,서울특별시 은평구 갈현동,292
1138010500,서울특별시 은평구 구산동,293
1138010600,서울특별시 은평구 대조동,294
1138010700,서울특별시 은평구 응암동,295
1138010800,서울특별시 은평구 역촌동,296
1138010900,서울특별시 은평구 신사동,297
1138011000,서울특별시 은평구 증산동,298
1138011400,서울특별시 은평구 진관동,299
1141010100,서울특별시 서대문구 충정로2가,300
1141010200,서울특별시 서대문구 충정로3가,301
1141010300,서울특별시 서대문구 합동,302
1141010400,서울특별시 서대문구 미근동,303
1141010500,서울특별시 서대문구 냉천동,304
1141010600,서울특별시 서대문구 천연동,305
1141010700,서울특별시 서대문구 옥천동,306
1141010800,서울특별시 서대문구 영천동,307
1141010900,서울특별시 서대문구 현저동,308
1141011000,서울특별시 서대문구 북아현동,309
1141011100,서울특별시 서대문구 홍제동,310
1141011200,서울특별시 서대문구 대현동,311
1141011300,서울특별시 서대문구 대신동,312
1141011400,서울특별시 서대문구 신촌동,313
1141011500,서울특별시 서대문구 봉원동,314
1141011600,서울특별시 서대문구 창천동,315
1141011700,서울특별시 서대문구 연희동,316
1141011800,서울특별시 서대문구 홍은동,317
1141011900,서울특별시 서대문구 북가좌동,318
1141012000,서울특별시 서대문구 남가좌동,319
1144010100,서울특별시 마포구 아현동,320
1144010200,서울특별시 마포구 공덕동,321
1144010300,서울특별시 마포구 신공덕동,322
1144010400,서울특별시 마포구 도화동,323
1144010500,서울특별시 마포구 용강동,324
1144010600,서울특별시 마포구 토정동,325
